status	label	forms
map	greenhouse gas emissions	greenhouse gas emissions ; greenhouse gas emission ; Greenhouse gas emissions ; greenhouse gases emissions ; emissions of greenhouse gases ; emission of greenhouse gases ; greenhouse gases emission ; emissions of greenhouse gas ; émissions de gaz à effet de serre ; greenhouse gas emissions
map	gross domestic product	gross domestic product ; GDP ; produit intérieur brut ; gross domestic product
map	ground biomass	ground biomass ; biomass on the ground ; biomasse souterraine ; ground biomass
map	ground water	ground water ; eaux souterraines
map	groundwater recharge	groundwater recharge ; recharge groundwater ; recharge for groundwater ; recharge des eaux souterraines ; groundwater recharge
map	groundwater resources	groundwater resources ; groundwater resource ; ressources en eau souterraine ; groundwater resources
map	growth and survival	growth and survival ; survival and growth ; survival or growth ; growth or survival ; croissance et la survie ; growth and survival
map	growth responses	growth responses ; growth response ; response of growth ; taux de croissance ; growth rates ; growth rate ; Growth rates ; Growth rate ; rate of growth
map	habitat loss	habitat loss ; Habitat loss ; habitat losses ; loss of habitat ; loss habitat ; perte d'habitat ; habitat loss
map	habitat suitability	habitat suitability ; Habitat suitability ; suitability of habitat ; qualité de l'habitat ; habitat suitability
map	health effects	health effects ; effects on the health ; effets sur la santé ; health effects
map	health impacts	health impacts ; health impact ; impact on health ; impacts on health ; impact on the health ; impacts sur la santé ; health impacts
map	health risks	health risks ; health risk ; risques pour la santé ; health risks
map	heat and drought	heat and drought ; drought and heat ; drought or heat ; heat and the drought ; chaleur et sécheresse ; heat and drought
map	heat flux	heat flux ; heat fluxes ; flux de chaleur ; heat flux
map	heat shock	heat shock ; Heat shock ; choc thermique ; heat shock
map	heat shock protein	heat shock protein ; heat shock proteins ; protéines de choc thermique ; heat shock protein
map	heat stress	heat stress ; Heat stress ; heat stresses ; stress heat ; stress thermique ; heat stress
map	heat tolerance	heat tolerance ; tolerance for heat ; tolérance à la chaleur ; heat tolerance
map	heat waves	heat waves ; heat wave ; Heat waves ; Heat wave ; vagues de chaleur ; heat waves
map	heavy rainfall	heavy rainfall ; Heavy rainfall ; heavy rainfalls ; fortes précipitations ; heavy rainfall
map	high latitudes	high latitudes ; higher latitudes ; high latitude ; latitudes higher ; hautes latitudes ; high latitudes
map	High temperature	High temperature ; High temperatures ; high temperatures ; high temperature ; higher temperatures ; higher temperature ; Higher temperatures ; temperatures higher ; highest temperature ; highest temperatures ; Higher temperature ; temperature and higher ; temperature higher ; temperatures and higher ; temperature and high ; haute temperature ; High temperature
map	higher altitudes	higher altitudes ; high altitudes ; high altitude ; higher altitude ; altitudes higher ; altitude high ; altitudes plus élevées ; higher altitudes
map	host plant	host plant ; host plants ; plant host ; plante hôte ; host plant
map	human health	human health ; Human health ; health of humans ; health and human ; santé humaine ; human health
map	human rights	human rights ; human right ; droits de l'homme ; human rights
map	humidity	humidity ; humidité
map	hydrologic model	hydrologic model ; hydrologic models ; modèle hydrologique ; hydrological model ; hydrological models ; Hydrological models
map	hydrological changes	hydrological changes ; hydrological change ; changements hydrologiques ; hydrological changes
map	hydrological cycle	hydrological cycle ; hydrological cycles ; cycle hydrologique ; hydrological cycle
map	hydrological processes	hydrological processes ; Hydrological Processes ; processus hydrologiques ; hydrological processes
map	hydrological regime	hydrological regime ; hydrological regimes ; régime hydrologique ; hydrological regime
map	ice age	ice age ; ice ages ; age of the ice ; âge de glace ; ice age
map	ice cover	ice cover ; couverture de glace
map	ice sheet	ice sheet ; ice sheets ; calotte glaciaire ; ice sheet
map	ilex	ilex ; chêne vert
map	impact assessment	impact assessment ; impact assessments ; impacts assessment ; assessment of the impacts ; assessment of the impact ; assessment of impacts ; assessment of impact ; impact analysis ; impact analyses ; analysis of both impact ; évaluation de l'impact ; impact assessment
map	infectious diseases	infectious diseases ; infectious disease ; maladies infectieuses ; infectious diseases
map	information system	information system ; information systems ; système d'information ; information system
map	inorganic carbon	inorganic carbon ; carbone inorganique
map	insect	insect ; insects ; insecte ; pest ; pests
map	insecurity	insecurity ; insécurité
map	integrated assessment models	integrated assessment models ; integrated assessment model ; modèles d'évaluation intégrés ; integrated assessment models
map	interactive effects	interactive effects ; interactive effect ; Interactive effects ; effets d'interaction ; interactive effects
map	interannual variability	interannual variability ; variabilité interannuelle
map	invasive plants	invasive plants ; invasive plant ; plantes envahissantes ; invasive plants
map	invasive species	invasive species ; Invasive species ; species and invasive ; espèces envahissantes ; invasive species
map	irrigation	irrigation ; Irrigation ; irrigation
map	irrigation water	irrigation water ; Irrigation water ; water for irrigation ; water from irrigation ; eau d'irrigation ; irrigation water
map	lake level	lake level ; lake levels ; level of the lake ; niveau du lac ; lake level
map	lake water	lake water ; lake waters ; water lake ; water from the lake ; water in the lake ; water of the lake ; eau des lacs ; lake water
map	land area	land area ; land areas ; area of land ; areas of land ; area land ; surface des terre ; land area
map	Land cover	Land cover ; land cover ; land covers ; cover land ; Couverture terrestre ; Land cover
map	land cover types	land cover types ; land cover type ; types de couverture terrestre ; land cover types
map	land degradation	land degradation ; degradation of land ; dégradation des terres ; land degradation
map	land management	land management ; management of land ; gestion des terres ; land management
map	Land surface	Land surface ; land surface ; land surfaces ; surface of the land ; surface des terres ; Land surface
map	land surface temperature	land surface temperature ; land surface temperatures ; temperature of land surface ; température de surface de la terre ; land surface temperature
map	Land use changes	Land use changes ; Land use change ; land-use change ; land-use changes ; Land-use change ; Land-use changes ; changes in land-use ; change in land-use ; land use change ; land use changes ; changes in land use ; change in land use ; change of land use ; use of land change ; utilisation des terres ; Land use ; land use ; land uses ; use land ; use of land
map	land-cover change	land-cover change ; land-cover changes ; land cover change ; land cover changes ; changes in land cover ; change in land cover ; changes in both land cover ; changes of land cover ; changements de la couverture terrestre ; land-cover change
map	large uncertainties	large uncertainties ; large uncertainty ; largest uncertainty ; largest uncertainties ; larger uncertainty ; grandes incertitudes ; large uncertainties
map	larvae	larvae ; larves
map	leaf area	leaf area ; surface foliaire
map	leaf area index	leaf area index ; indice de surface foliaire
map	leaf litter	leaf litter ; feuilles mortes
map	life cycle	life cycle ; life cycles ; cycle de la vie ; life cycle
map	Life cycle assessment	Life cycle assessment ; life cycle assessment ; life cycle assessments ; évaluation du cycle de vie ; Life cycle assessment
map	life history	life history ; life histories ; history of life ; cycles biologiques ; life history
map	life stages	life stages ; life stage ; stades de la vie ; life stages
map	life-history traits	life-history traits ; life history traits ; traits d'histoire de vie ; life-history traits
map	linear models	linear models ; linear model ; modèles linéaires ; linear models
map	litter decomposition	litter decomposition ; Litter decomposition ; decomposition of litter ; décomposition de la litière ; litter decomposition
map	livestock	livestock ; bétail
map	livestock production	livestock production ; Livestock production ; production of all livestock ; production livestock ; production of livestock ; production de bétail ; livestock production
map	local government	local government ; local governments ; government and local ; gouvernement local ; local government
map	local level	local level ; local levels ; niveau local ; local level
map	long run	long run ; long time periods ; long periods of time ; long period of time ; longer time period ; long time period ; longer period of time ; long terme ; long run
map	long-term data	long-term data ; Long-term data ; données à long terme ; long-term data
map	longer time scales	longer time scales ; long time scales ; long time scale ; scale long time ; échelles de temps plus longues ; longer time scales
map	low cost	low cost ; lower cost ; lower costs ; low costs ; cost low ; costs low ; faible coût ; low cost
map	low flows	low flows ; low flow ; flow and low ; étiages ; low flows
map	low latitudes	low latitudes ; lower latitudes ; low latitude ; basses latitudes ; low latitudes
map	low temperature	low temperature ; low temperatures ; lower temperatures ; lower temperature ; temperatures lower ; Low temperatures ; Lower temperatures ; temperature lower ; temperature and low ; basse température ; low temperature
map	low-carbon	low-carbon ; faible teneur en carbone
map	lower elevations	lower elevations ; low elevations ; low elevation ; lower elevation ; elevation and low ; altitudes inférieures ; lower elevations
map	maize yield	maize yield ; maize yields ; yields for maize ; yields of maize ; rendement du maïs ; maize yield
map	mammals	mammals ; mammal ; mammifères ; mammals
map	management actions	management actions ; management action ; mesures de gestion ; management actions
map	management decisions	management decisions ; management decision ; decisions on management ; décisions de gestion ; management decisions
map	management options	management options ; management option ; options for management ; options de gestion ; management options
map	management planning	management planning ; planning and management ; management and planning ; planification de la gestion ; management planning
map	management policies	management policies ; management policy ; policy and management ; policies management ; policy management ; management and policy ; management and policies ; politiques de gestion ; management policies
map	management practices	management practices ; management practice ; management in practice ; pratiques de gestion ; management practices
map	management systems	management systems ; management system ; system management ; systems management ; management of the system ; systèmes de gestion ; management systems
map	mangrove forests	mangrove forests ; mangrove forest ; Mangrove forests ; forêts de mangrove ; mangrove forests
map	marine ecosystems	marine ecosystems ; marine ecosystem ; écosystèmes marins ; marine ecosystems
map	marine environment	marine environment ; marine environments ; milieu marin ; marine environment
map	mass balance	mass balance ; mass balances ; balance with the mass ; bilan massique ; mass balance
map	mass loss	mass loss ; perte de masse
map	maximum temperature	maximum temperature ; maximum temperatures ; temperature maximum ; température maximale ; maximum temperature
map	mean sea level	mean sea level ; niveau moyen de la mer
map	mean temperature	mean temperature ; mean temperatures ; temperature means ; Mean temperature ; temperature mean ; temperature by means ; température moyenne ; mean temperature
map	metabolic rate	metabolic rate ; metabolic rates ; taux métabolique ; metabolic rate
map	meteorological variables	meteorological variables ; variables météorologiques
map	methane	methane ; Methane ; méthane ; methane
map	methane emissions	methane emissions ; Methane emissions ; methane emission ; emission of methane ; methane by emissions ; emissions of methane ; émissions de méthane ; methane emissions
map	metropolitan area	metropolitan area ; metropolitan areas ; zone metropolitaine ; metropolitan area
map	microbes	microbes ; microbe ; microbes
map	microbial activity	microbial activity ; microbial activities ; activité microbienne ; microbial activity
map	microbial biomass	microbial biomass ; Microbial biomass ; biomasse microbienne ; microbial biomass
map	microbial communities	microbial communities ; microbial community ; Microbial communities ; communautés microbiennes ; microbial communities
map	microorganisms	microorganisms ; microorganismes
map	migrants	migrants ; migrant ; migrants
map	mineral soil	mineral soil ; mineral soils ; soil mineral ; soil minerals ; sol minéral ; mineral soil
map	minimum temperature	minimum temperature ; minimum temperatures ; temperature minimum ; température minimale ; minimum temperature
map	mitigation measures	mitigation measures ; mitigation measure ; mesures d'atténuation ; mitigation measures
map	mitigation policies	mitigation policies ; mitigation policy ; politiques d'atténuation ; mitigation policies
map	mitigation potential	mitigation potential ; potential mitigation ; potential for mitigation ; potentiel d'atténuation ; mitigation potential
map	mitigation strategies	mitigation strategies ; mitigation strategy ; strategy of mitigation ; stratégies d'atténuation ; mitigation strategies
map	model data	model data ; model and data ; data models ; data model ; model against data ; model with data ; data and a model ; data towards model ; models and data ; data and models ; données des modèles ; model data
map	model outputs	model outputs ; model output ; Model output ; output of the model ; model with outputs ; output model ; model and the outputs ; résultats du modèle ; model outputs
map	model parameters	paramètres du modèle ; model parameters
map	model performance	model performance ; Model performance ; model performances ; models performance ; performances of the models ; performance of the model ; performance of models ; performance models ; model for the performance ; performance of these models ; performance of those models ; performance among these models ; performance du modèle ; model performance
map	model predictions	model predictions ; prediction model ; Model predictions ; prediction models ; model prediction ; prédictions des modèles ; model predictions
map	model projections	model projections ; Model projections ; projection models ; model projection ; projection model ; model for projection ; projections des modèles ; model projections
map	moisture content	moisture content ; moisture contents ; teneur en humidité ; moisture content
map	monsoon	monsoon ; mousson
map	multimodel ensemble	multimodel ensemble ; multimodel ensembles ; multi-model ensemble ; ensemble multimodèle ; multimodel ensemble
map	multiple stressors	multiple stressors ; multiples facteurs de stress
map	national level	national level ; national levels ; niveau national ; national level
map	native species	native species ; species native ; espèces indigènes ; native species
map	natural gas	natural gas ; gaz naturel
map	natural populations	natural populations ; natural population ; populations naturelles ; natural populations
map	natural resources	natural resources ; natural resource ; resource but the natural ; ressources naturelles ; natural resources
map	natural variability	natural variability ; variabilité naturelle
map	negative effects	negative effects ; negative effect ; Negative effects ; effect or a negative ; effets négatifs ; negative effects
map	net primary production	net primary production ; Net primary production ; production primaire nette ; net primary production
map	net primary productivity	net primary productivity ; Net primary productivity ; productivité primaire nette ; net primary productivity
map	niche models	niche models ; niche model ; Niche models ; modèles de niche ; niche models
map	nitrate	nitrate
map	nitrous oxide	nitrous oxide ; Nitrous oxide ; protoxyde d'azote ; nitrous oxide
map	nuclear power	nuclear power ; énergie nucléaire
map	numerical model	numerical model ; numerical models ; Numerical models ; modèle numérique ; numerical model
map	nutrient availability	nutrient availability ; nutrients availability ; availability of these nutrients ; availability of nutrients ; disponibilité des nutriments ; nutrient availability
map	nutrient cycling	nutrient cycling ; cycle des éléments nutritifs
map	observed changes	observed changes ; observed change ; changements observés ; observed changes
map	observed data	observed data ; données observées
map	ocean	ocean ; oceans ; océan ; ocean
map	ocean acidification	ocean acidification ; acidification des océans
map	ocean and atmosphere	ocean and atmosphere ; ocean atmosphere ; atmosphere and ocean ; atmosphere ocean ; atmosphere or ocean ; ocean and the atmosphere ; atmosphere and the ocean ; l'océan et l'atmosphère ; ocean and atmosphere
map	ocean circulation	ocean circulation ; circulation océanique
map	ocean warming	ocean warming ; warming ocean ; warming of the ocean ; réchauffement de l'océan ; ocean warming
map	organic carbon	organic carbon ; carbon organic ; carbone organique ; organic carbon
map	organic matter	organic matter ; matière organique
map	oxidative stress	oxidative stress ; stress oxydatif
map	oxide	oxide ; oxides ; oxyde ; oxide
map	oxygen	oxygen ; Oxygen ; oxygène ; oxygen
map	ozone depletion	ozone depletion ; depletion of ozone ; diminution de la couche d'ozone ; ozone depletion
map	past climate	past climate ; past climates ; climat du passé ; past climate
map	peak flows	peak flows ; peak flow ; pointes d'écoulement ; peak flows
map	permafrost	permafrost ; Permafrost ; pergélisol ; permafrost
map	permafrost thaw	permafrost thaw ; Permafrost thaw ; permafrost thaws ; dégel du pergélisol ; permafrost thaw
map	phenology	phenology ; phenologies ; Phenology ; phénologie ; phenology
map	phenotypic plasticity	phenotypic plasticity ; Phenotypic plasticity ; plasticité phénotypique ; phenotypic plasticity
map	phosphorus	phosphorus ; phosphore
map	photosynthesis	photosynthesis ; photosynthèse
map	photosynthetic rate	photosynthetic rate ; photosynthetic rates ; taux de photosynthèse ; photosynthetic rate
map	phylogenetic diversity	phylogenetic diversity ; Phylogenetic diversity ; diversity and phylogenetic ; diversité phylogénétique ; phylogenetic diversity
map	physiological responses	physiological responses ; physiological response ; Physiological responses ; réponses physiologiques ; physiological responses
map	physiology	physiology ; physiologie
map	phytoplankton	phytoplankton ; Phytoplankton ; phytoplancton ; phytoplankton
map	phytoplankton community	phytoplankton community ; phytoplankton communities ; Phytoplankton community ; communauté de phytoplancton ; phytoplankton community
map	pine	pine ; pines ; pin ; pine
map	plankton	plankton ; Plankton ; plancton ; plankton
map	plant biomass	plant biomass ; Plant biomass ; biomasse végétale ; plant biomass
map	plant communities	plant communities ; plant community ; Plant communities ; Plant community ; plants communities ; plants in the communities ; plants in communities ; communautés végétales ; plant communities
map	plant diversity	plant diversity ; diversité végétale
map	plant functional types	plant functional types ; plant functional type ; plantes types fonctionnels ; plant functional types
map	plant growth	plant growth ; Plant growth ; growth of plants ; plants growth ; growth for plants ; croissance des plantes ; plant growth
map	plant responses	plant responses ; plant response ; Plant responses ; responses of plants ; responses of plant ; plants in response ; response of plants ; responses in plants ; response of plant ; responses between plant ; réponses des plantes ; plant responses
map	plant species	plant species ; Plant species ; plants species ; species of plants ; espèces végétales ; plant species
map	polar bears	polar bears ; polar bear ; Ours polaires ; polar bears
map	policy development	policy development ; development policies ; development policy ; policy developments ; development of policies ; development of policy ; élaboration de politiques ; policy development
map	policy implications	policy implications ; policy implication ; implications for policy ; Implications for policy ; implications politiques ; policy implications
map	policy instruments	policy instruments ; policy instrument ; instruments politiques ; policy instruments
map	policy-making	policy-making ; policymakers ; policy makers ; élaboration des politiques ; policy-making
map	pollen	pollen ; Pollen ; pollen
map	pollinator	pollinator ; pollinators ; pollinisateur ; pollinator
map	pollutants	pollutants ; pollutant ; polluants ; pollutants
map	pollution	pollution ; Pollution ; pollution
map	population declines	population declines ; population decline ; déclin de la population ; population declines
map	population dynamics	population dynamics ; dynamics of populations ; dynamics of the population ; dynamics of a population ; populations dynamics ; dynamics of these populations ; dynamique des populations ; population dynamics
map	population genetic	population genetic ; genetic population ; population and genetic ; génétique des populations ; population genetic
map	Population growth	Population growth ; population growth ; growth of population ; growth in population ; accroissement de la population ; Population growth
map	population growth rate	population growth rate ; population growth rates ; rates of population growth ; growth rates of the population ; taux de croissance de la population ; population growth rate
map	population level	population level ; population levels ; niveau de la population ; population level
map	population models	population models ; population model ; modèles de population ; population models
map	population size	population size ; population sizes ; size of a population ; taille de la population ; population size
map	population structure	population structure ; structure of the population ; structure de la population ; population structure
map	population trends	population trends ; population trend ; trends in the population ; tendances démographiques ; population trends
map	population viability	population viability ; viability of populations ; viability of a population ; viabilité des populations ; population viability
map	positive effect	positive effect ; positive effects ; effet positif ; positive effect
map	positive feedback	positive feedback ; positive feedbacks ; retroaction positive ; positive feedback
map	potato	potato ; Potato ; pomme de terre ; potato
map	potential changes	potential changes ; potential change ; Potential changes ; changes potential ; changes and the potential ; changements potentiels ; potential changes
map	potential distribution	potential distribution ; potential distributions ; Potential Distribution ; Potential distribution ; distribution and potential ; distribution de potentiel ; potential distribution
map	potential evapotranspiration	potential evapotranspiration ; Potential evapotranspiration ; évapotranspiration potentielle ; potential evapotranspiration
map	potential impacts of climate change	potential impacts of climate change ; potential impact of climate change ; potential climate change impacts ; Potential impacts of climate change ; Potential climate change impacts ; potential climate change impact ; climate change impact potential ; climate change impacts or the potential ; impacts potentiels du changement climatique ; potential impacts of climate change
map	power plants	power plants ; power plant ; centrales ; power plants
map	precipitation	precipitation ; precipitations ; précipitation ; precipitation
map	precipitation changes	precipitation changes ; precipitation change ; changes in precipitation ; Precipitation changes ; change in precipitation ; change precipitation ; change of precipitation ; change in the precipitation ; changes of precipitation ; precipitation with no changes ; changes in the precipitation ; precipitation than changes ; precipitation than the change ; changements de précipitations ; precipitation changes
map	precipitation data	precipitation data ; data of precipitation ; données sur les précipitations ; precipitation data
map	precipitation events	precipitation events ; precipitation event ; précipitations ; precipitation events
map	precipitation extremes	precipitation extremes ; extreme precipitation ; precipitation and extreme ; extremes in precipitation ; precipitation extreme ; extremes of this precipitation ; précipitations extrêmes ; precipitation extremes
map	precipitation increase	precipitation increase ; increase in precipitation ; precipitation increases ; Precipitation increases ; increases in precipitation ; increase and precipitation ; increases precipitation ; precipitation and the increase ; precipitation and increase ; precipitation and increases ; increase of precipitation ; augmentation des précipitations ; precipitation increase
map	precipitation regimes	precipitation regimes ; precipitation regime ; régimes de précipitations ; precipitation regimes
map	predators	predators ; predator ; prédateurs ; predators
map	primary production	primary production ; production primaire
map	private sector	private sector ; private sectors ; secteur privé ; private sector
map	probability distribution	probability distribution ; probability distributions ; distribution probability ; probability of distribution ; distribution de probabilité ; probability distribution
map	production systems	production systems ; production system ; production of the systems ; systèmes de production ; production systems
map	projected changes	projected changes ; Projected changes ; projected change ; change projects ; changements prévus ; projected changes
map	projected climate change	projected climate change ; Projected climate change ; climate change and projected ; projected change in climate ; changement climatique prévu ; projected climate change
map	protected areas	protected areas ; protected area ; aires protégées ; protected areas
map	public health	public health ; santé publique
map	public opinion	public opinion ; opinion publique
map	pyrolysis	pyrolysis ; pyrolyse
map	radial growth	radial growth ; Radial growth ; croissance radiale ; radial growth
map	radiation	radiation ; radiations ; radiation
map	radiocarbon	radiocarbon ; Radiocarbon ; radiocarbone ; radiocarbon
map	rainfall	rainfall ; rainfalls ; chute de pluie ; rainfall
map	rainfall events	rainfall events ; rainfall event ; event rainfall ; events with rainfall ; événements pluvieux ; rainfall events
map	range shifts	range shifts ; range shift ; shift range ; range from shifts ; shifts in the range ; changements de gamme ; range shifts
map	reanalysis data	reanalysis data ; data reanalysis ; data of reanalysis ; data from the reanalysis ; reanalysis of these data ; données de réanalyse ; reanalysis data
map	reef ecosystems	reef ecosystems ; reef ecosystem ; écosystèmes des récifs ; reef ecosystems
map	reef fish	reef fish ; reef fishes ; poissons de récif ; reef fish
map	reflectance	reflectance ; réflectance
map	refugia	refugia ; refugium ; refuges ; refugia
map	regional climate	regional climate ; Regional Climate ; regional climates ; climat régional ; regional climate
map	regional climate change	regional climate change ; regional climate changes ; changes in regional climate ; change in regional climate ; changement climatique régional ; regional climate change
map	regional climate model	regional climate model ; regional climate models ; Regional climate models ; modèle climatique régional ; regional climate model
map	regional scale	regional scale ; regional scales ; scale regional ; échelle régionale ; regional scale
map	regression trees	regression trees ; regression tree ; arbres de régression ; regression trees
map	relative humidity	relative humidity ; Relative humidity ; humidité relative ; relative humidity
map	renewable energy	renewable energy ; renewable energies ; énergie renouvelable ; renewable energy
map	renewable energy sources	renewable energy sources ; renewable energy source ; source of renewable energy ; renewable source of energy ; energy from renewable sources ; renewable sources of energy ; renewable energy resources ; sources d'énergie renouvelables ; renewable energy sources
map	representative concentration pathways	representative concentration pathways ; representative concentration pathway ; scénario RCP ; representative concentration pathways
map	reproductive success	reproductive success ; Reproductive success ; succès de la reproduction ; reproductive success
map	resource management	resource management ; resources management ; management of these resources ; management of resources ; management resources ; management of this resource ; gestion des ressources ; resource management
map	resource use	resource use ; use of resources ; resources use ; resources though the use ; use of the resource ; utilisation des ressources ; resource use
map	respiration rates	respiration rates ; respiration rate ; rates of respiration ; rate of respiration ; taux de respiration ; respiration rates
map	return period	return period ; return periods ; périodicité ; return period
map	rice production	rice production ; production of rice ; production de riz ; rice production
map	risk analysis	risk analysis ; risk analyses ; analysis of the risk ; analyse de risque ; risk analysis
map	risk factors	risk factors ; risk factor ; risk of the factor ; facteurs de risque ; risk factors
map	risk management	risk management ; gestion des risques
map	risk perception	risk perception ; risk perceptions ; perception of risk ; perceptions of risk ; perception du risque ; risk perception
map	risk reduction	risk reduction ; reduction in risk ; réduction des risques ; risk reduction
map	river basin	river basin ; river basins ; bassin de la rivière ; river basin
map	river flow	river flow ; river flows ; débit de la rivière ; river discharge ; river discharges
map	river systems	river systems ; river system ; systèmes fluviaux ; river systems
map	river water	river water ; water from the river ; eau de rivière ; river water
map	runoff changes	runoff changes ; runoff change ; changes in runoff ; change in runoff ; changes in the runoff ; changes on runoff ; runoff and changes ; changements des ruissellements ; runoff changes
map	rural areas	rural areas ; rural area ; zones rurales ; rural areas
map	salinity	salinity ; Salinity ; salinities ; salinité ; salinity
map	salt marsh	salt marsh ; salt marshes ; marais salant ; salt marsh
map	satellite data	satellite data ; Satellite data ; données par satellite ; satellite data
map	sea level	sea level ; sea levels ; niveau de la mer ; sea level
map	sea surface	sea surface ; surface sea ; surface de la mer ; sea surface
map	sea surface temperature	sea surface temperature ; sea surface temperatures ; surface sea temperatures ; température de surface de la mer ; sea surface temperature
map	sea-ice	sea-ice ; sea ice ; glace de mer ; sea-ice
map	sea-level change	sea-level change ; sea-level changes ; changes in sea-level ; sea level change ; sea level changes ; changes in sea level ; change sea level ; changement du niveau de la mer ; sea-level change
map	sea-level rise	sea-level rise ; Sea-level rise ; sea-level rises ; rise of sea-level ; sea level rise ; rise in sea level ; rise of the sea level ; élévation du niveau de la mer ; sea-level rise
map	seasonal cycle	seasonal cycle ; seasonal cycles ; cycle saisonnier ; seasonal cycle
map	seasonal temperature	seasonal temperature ; seasonal temperatures ; température saisonnière ; seasonal temperature
map	seawater temperature	seawater temperature ; seawater temperatures ; température de l'eau de mer ; seawater temperature
map	sediment core	sediment core ; sediment cores ; core sediment ; carotte de sédiment ; sediment core
map	sediment load	sediment load ; sediment loads ; loads of sediment ; charge sédimentaire ; sediment load
map	sediment transport	sediment transport ; transport des sédiments
map	sediment yield	sediment yield ; sediment yields ; apport de sédiments ; sediment yield
map	seed	seed ; seeds ; Seeds ; Seed ; graine ; seed
map	seed dispersal	seed dispersal ; dispersion des graines
map	serious challenges	serious challenges ; serious challenge ; new challenges ; new challenge ; grand challenges ; grand challenge ; significant challenges ; significant challenge ; défis majeurs ; serious challenges
map	sex ratio	sex ratio ; sex ratios ; sex-ratio ; sex ratio
map	shale gas	shale gas ; gaz de schiste
map	shallow lakes	shallow lakes ; shallow lake ; lacs peu profonds ; shallow lakes
map	shoreline	shoreline ; shorelines ; littoral ; shoreline
map	small islands	small islands ; small island ; petites îles ; small islands
map	snow cover	snow cover ; Snow cover ; couverture neigeuse ; snow cover
map	snow depth	snow depth ; snow depths ; depth of snow ; profondeur de la neige ; snow depth
map	snowmelt	snowmelt ; snow melt ; melt snow ; fonte des neiges ; snowmelt
map	social vulnerability	social vulnerability ; vulnérabilité sociale
map	social-ecological systems	social-ecological systems ; social-ecological system ; systèmes socio-écologiques ; social-ecological systems
map	soil carbon	soil carbon ; Soil carbon ; carbon in soils ; carbon in the soil ; carbon in soil ; soils carbon ; carbone du sol ; soil carbon
map	soil CO2	soil CO2 ; Soil CO2 ; CO2 du sol ; soil CO2
map	soil CO2 emissions	soil CO2 emissions ; Soil CO2 emissions ; CO2 emissions from soil ; CO2 emissions from the soil ; soil CO2 efflux ; Soil CO2 efflux ; émissions de CO2 des sols ; soil CO2 emissions
map	soil depth	soil depth ; soil depths ; soil and depth ; depth of the soil ; depth soil ; depth of soil ; profondeur du sol ; soil depth
map	soil erosion	soil erosion ; Soil erosion ; erosion of soil ; érosion des sols ; soil erosion
map	soil fertility	soil fertility ; fertility soil ; fertilité des sols ; soil fertility
map	soil layers	soil layers ; soil layer ; layer soil ; couches du sol ; soil layers
map	soil microbial	soil microbial ; Soil microbial ; soil and microbial ; microbienne du sol ; soil microbial
map	soil microbial communities	soil microbial communities ; soil microbial community ; Soil microbial communities ; Soil microbial community ; microbial communities in the soil ; communautés microbiennes du sol ; soil microbial communities
map	soil moisture	soil moisture ; Soil moisture ; humidité du sol ; soil moisture
map	soil nutrient	soil nutrient ; soil nutrients ; Soil nutrient ; soil and nutrient ; éléments nutritifs du sol ; soil nutrient
map	soil organic	soil organic ; Soil organic ; organic soils ; organic soil ; matière organique du sol ; soil organic matter ; Soil organic matter
map	soil organic carbon	soil organic carbon ; Soil organic carbon ; organic carbon in soil ; organic soil carbon ; carbon as soil organic ; organic carbon in the soil ; carbone organique du sol ; soil organic carbon
map	soil properties	soil properties ; soil property ; propriétés du sol ; soil properties
map	soil respiration	soil respiration ; Soil respiration ; respiration du sol ; soil respiration
map	soil samples	soil samples ; Soil samples ; soil sample ; soil sampling ; samples of soil ; échantillons de sol ; soil samples
map	soil surface	soil surface ; surface soil ; surface soils ; soil surfaces ; surface of soil ; surface and soil ; surface du sol ; soil surface
map	soil temperature	soil temperature ; soil temperatures ; Soil temperature ; Soil temperatures ; temperature and soil ; température du sol ; soil temperature
map	soil types	soil types ; soil type ; type of soil ; soil for each type ; types de sols ; soil types
map	soil water	soil water ; Soil water ; soil and water ; soil or water ; water and soil ; eau du sol ; soil water
map	soil water content	soil water content ; Soil water content ; water content of the soil ; water content of soil ; teneur en eau du sol ; soil water content
map	solar energy	solar energy ; énergie solaire
map	solar radiation	solar radiation ; radiation solaire
map	sorghum	sorghum ; Sorghum ; sorgho ; sorghum
map	sources of uncertainty	sources of uncertainty ; uncertainty sources ; source of uncertainty ; sources of uncertainties ; uncertainty source ; sources and uncertainties ; uncertainty as some sources ; uncertainty as a source ; uncertainties in the sources ; sources d'incertitude ; sources of uncertainty
map	spatial planning	spatial planning ; aménagement du territoire
map	spatial resolution	spatial resolution ; spatial resolutions ; resolution spatial ; résolution spatiale ; spatial resolution
map	species abundance	species abundance ; species abundances ; abundance of species ; abundance of some species ; abundance of these species ; abundance of each species ; abundance across all species ; abundance of this species ; abondance des espèces ; species abundance
map	species composition	species composition ; species compositions ; composition of species ; composition des espèces ; species composition
map	Species distribution	Species distribution ; Species distributions ; species distribution ; species distributions ; distribution of species ; distribution of the species ; distribution of each species ; distribution of this species ; distribution of a species ; distribution of these species ; distributions of each species ; distributions of these species ; distribution of some species ; distribution of both species ; distribution of those species ; répartition des espèces ; Species distribution
map	species distribution models	species distribution models ; species distribution model ; species distributions models ; models on species distributions ; models of species distributions ; modèles de répartition des espèces ; species distribution models
